event_id,timestamp,user_id,event_type,product_id,product_name,category,price,quantity
9e1335af-3d6a-4184-85e5-1ce8c1796635,2025-04-22 19:07:52,abda80a3-9638-47ae-8e14-d52cfcca39bc,view,9c42b6d0-4ea8-4668-8f4b-d8c2ce3e1377,Fight Wear,Beauty,965.65,
26a8670f-e659-4e10-9795-a9f6c58e9d1b,2025-04-22 20:19:07,c99c30ae-70c8-4dd2-9438-fafea08a1863,view,9c42b6d0-4ea8-4668-8f4b-d8c2ce3e1377,Fight Wear,Beauty,965.65,
87466ff9-d684-45c6-ab81-cc88f3904af0,2025-04-22 21:57:16,5daea5bc-1c7e-4400-ab9e-dda70ec171e8,view,d3e8644c-4a2e-4ecf-9522-c80a68d11297,Thank General,Beauty,757.47,
a03fb1d5-da3f-4eee-ac5d-44d34e224bc1,2025-04-22 23:35:49,73a2b7d6-d96b-4e7f-a390-34fe0d3255fd,view,64f8e263-640a-4061-9d7b-dbba53e7f55d,Billion Each,Books,340.13,
0914beb4-2c0a-4b6c-80c4-afc8843e8e54,2025-04-23 00:21:57,9d5a2f71-3480-4023-a75f-1e8a85f21947,purchase,a5297416-356f-4f1a-8b8a-4497bed2d0be,Would Hour,Sports,687.69,5
869abeb4-77b1-4621-8921-12e491a630dc,2025-04-23 09:20:25,39cee92b-6832-419c-9f5a-7e990e981ed4,view,cc9efee6-edd7-4ff9-a8b1-68f77d7ffecb,Low Center,Clothing,396.64,
ae3033d6-5185-493e-8f04-da405fd79ea9,2025-04-23 10:07:54,6c8423e2-d63b-4b3e-8bf5-22eb58b82106,view,f6d8eb4c-cb71-4b46-ad9f-eb2a8677afc9,Save Have,Clothing,995.6,
9487434b-ade8-4b1d-8d93-94e7485ef400,2025-04-23 12:16:36,39cee92b-6832-419c-9f5a-7e990e981ed4,add_to_cart,e928971e-ac39-4b5f-8cb8-c2645e60af7e,Single Behind,Clothing,557.4,2
07719052-8140-4e5d-8287-7e574ab339f3,2025-04-23 12:31:11,5daea5bc-1c7e-4400-ab9e-dda70ec171e8,add_to_cart,0d92c994-9bc9-4a05-8a4d-8d971afd0afb,Throughout Body,Home & Kitchen,632.6,2
5c9be271-8843-44fe-ba78-e63599a51deb,2025-04-24 02:03:45,2352119e-f284-495e-84de-5c532541a480,view,a9c6bb5b-dcba-457b-826c-085bd590fc33,Make Cost,Home & Kitchen,8.19,
